2025-09-27 23:24:47,413 | INFO     | pipeline.transform | Starting transform step
2025-09-27 23:24:47,415 | WARNING  | pipeline.transform | Filled 1 missing values in 'CPI' with mean
2025-09-27 23:24:47,415 | WARNING  | pipeline.transform | Filled 1 missing values in 'Weekly_Sales' with mean
2025-09-27 23:24:47,415 | WARNING  | pipeline.transform | Filled 1 missing values in 'Unemployment' with mean
2025-09-27 23:24:47,417 | INFO     | pipeline.transform | Filtered 2 rows with low sales
2025-09-27 23:24:47,418 | INFO     | pipeline.transform | Transform step complete
2025-09-27 23:28:38,374 | INFO     | pipeline.transform | Starting transform step
2025-09-27 23:28:38,378 | WARNING  | pipeline.transform | Filled 1 missing values in 'CPI' with mean
2025-09-27 23:28:38,378 | WARNING  | pipeline.transform | Filled 1 missing values in 'Weekly_Sales' with mean
2025-09-27 23:28:38,378 | WARNING  | pipeline.transform | Filled 1 missing values in 'Unemployment' with mean
2025-09-27 23:28:38,381 | INFO     | pipeline.transform | Filtered 0 rows with low sales
2025-09-27 23:28:38,381 | INFO     | pipeline.transform | Transform step complete
2025-09-27 23:31:11,221 | INFO     | pipeline.transform | Starting transform step
2025-09-27 23:31:11,223 | WARNING  | pipeline.transform | Filled 1 missing values in 'CPI' with mean
2025-09-27 23:31:11,223 | WARNING  | pipeline.transform | Filled 1 missing values in 'Weekly_Sales' with mean
2025-09-27 23:31:11,223 | WARNING  | pipeline.transform | Filled 1 missing values in 'Unemployment' with mean
2025-09-27 23:31:11,225 | INFO     | pipeline.transform | Filtered 0 rows with low sales
2025-09-27 23:31:11,226 | INFO     | pipeline.transform | Transform step complete
